,Language,Original purpose,Imperative,Object-oriented,Functional,Procedural,Generic,Reflective,Event-driven,Standardized?
97,PL/I,Application,Yes,Yes,No,Yes,No,No,No,"Yes1969, ECMA-50 (1976)"
98,Plus,"Application, system development",Yes,No,No,Yes,No,No,No,No
99,PostScript,"Graphics, page description",Yes,No,No,Yes,No,No,No,YesAs the PostScript Reference Manual[37]
100,PowerShell,"Administration, application, general, scripting",Yes,Yes,Yes,Yes,No,Yes,No,No
101,Prolog,"Application, artificial intelligence",No,No,Yes,Yes,No,Yes,No,"Yes1995, ISO/IEC 13211-1:1995, TC1 2007, TC2 2012, TC3 2017"
102,PureBasic,Application,No,No,No,Yes,No,No,No,No
103,Python,"Application, general, web, scripting, artificial intelligence, scientific computing",Yes,Yes,Yes,Yes,Yes,Yes,Yes,De facto standard via Python Enhancement Proposals (PEPs)
104,R,"Application, statistics",Yes,Yes,Yes,Yes,No,Yes,No,No
105,Racket,"Education, general, scripting",No,Yes,Yes,Yes,No,Yes,No,No
106,Raku,"Scripting, text processing, glue",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
107,REALbasic,Application,No,No,No,Yes,No,No,No,Un­known
108,Rebol,Distributed,Yes,Yes,Yes,Yes,No,Yes,Yes,No
109,REXX,Scripting,Yes,Yes (NetRexx and Object REXX dialects),No,Yes,No,No,No,Yes1996 (ANSI X3.274-1996)
110,RPG,"Application, system",Yes,No,No,Yes,No,No,No,No
111,Ring,Application,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
112,Ruby,"Application, scripting, web",Yes,Yes,Yes,No,No,Yes,No,"Yes2011(JIS X 3017), 2012(ISO/IEC 30170)"
113,Rust,"Application, server-side, system, web",Yes,Yes[38],Yes,Yes,Yes,No[39],Yes,No
114,S,"Application, statistics",Yes,Yes,Yes,Yes,No,No,No,No
115,S-Lang,"Application, numerical, scripting",Yes,No,No,Yes,No,No,No,No
116,Scala,"Application, distributed, web",Yes,Yes,Yes,No,Yes,Yes,Yes,De facto standard via Scala Language Specification (SLS)
117,Scheme,"Education, general",No,No,Yes,No,No,No,No,"Yes1998, R6RS"
118,Seed7,"Application, general, scripting, web",Yes,Yes,No,No,Yes,Yes,No,No
119,Simula,"Education, general",Yes,Yes,No,No,No,No,Yes,Yes1968
120,Small Basic,"Application, education, games",Yes,No,No,No,No,No,Yes,No
121,Smalltalk,"Application, general, business, artificial intelligence, education, web",Yes,Yes,Yes,Yes,No,Yes,Yes,"Yes1998, ANSI"
122,SNOBOL,Text processing,No,No,No,No,No,No,No,Un­known
123,Standard ML,Application,Yes,No,Yes,No,Yes,No,No,"Yes1997, SML '97[40]"
124,Swift,"Application, general",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
125,Tcl,"Application, scripting, web",Yes,Yes,Yes,Yes,No,Yes,Yes,No
126,Visual Basic,"Application, RAD, education, business, general, (Includes VBA), office automation",Yes,Yes,No,No,Yes,No,Yes,No
127,Visual Basic .NET,"Application, RAD, education, web, business, general",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
128,Visual FoxPro,Application,No,Yes,No,No,No,No,No,No
129,Visual Prolog,Application,Yes,Yes,Yes,No,No,No,Yes,No
130,Wolfram Language,Symbolic language,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
131,XL,,Yes,Yes,No,No,No,No,No,No
132,Xojo,"Application, RAD, general, web",Yes,Yes,No,Yes,No,Yes,Yes,No
133,XPath/XQuery,"Databases, data processing, scripting",No,No,Yes,No,No,No,No,"Yes1999 W3C XPath 1, 2010 W3C XQuery 1, 2014 W3C XPath/XQuery 3.0"
134,Zeek,"Domain-specific, application",Yes,No,No,No,No,No,Yes,No
135,Zig,"Application, general, system",Yes,No,Yes,Yes,Yes,Yes,Yes,No
136,Zsh,"Shell, scripting",Yes,No,No,Yes,No,No,No,No
