,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
262,2021,Data Analyst,SE,FT,5079001.00,DE,DE,L,50
263,2021,Data Scientist,MI,FT,1345043.00,IN,IN,S,100
264,2021,Machine Learning Engineer,SE,FT,5272673.00,IN,IN,L,0
265,2021,Data Scientist,MI,FT,2031568.00,RS,DE,S,100
266,2021,Lead Data Engineer,SE,FT,12731120.00,PR,US,S,50
267,2021,Data Engineer,MI,FT,7411899.00,US,US,M,0
268,2021,Data Engineer,MI,FT,8893881.00,US,US,M,0
269,2021,Data Engineer,MI,FT,2229219.00,TR,TR,M,100
270,2021,Data Engineer,EN,FT,5173052.00,DE,DE,M,50
271,2021,Data Engineer,EN,FT,5768789.00,US,US,L,100
272,2021,Computer Vision Engineer,SE,FT,1504421.00,BR,BR,M,0
273,2021,Data Science Consultant,EN,FT,6113563.00,DE,DE,L,0
274,2021,Machine Learning Engineer,EN,FT,6763408.00,NL,DE,S,100
275,2021,Data Scientist,SE,FT,6181277.00,FR,FR,M,50
276,2021,Data Scientist,EN,FT,7956950.00,US,US,M,100
277,2021,Data Scientist,EN,FT,4615031.00,US,US,L,50
278,2021,AI Scientist,SE,FT,4376323.00,ES,ES,L,100
279,2021,Data Scientist,SE,FT,1604996.00,TR,TR,L,50
280,2021,Business Data Analyst,EN,FT,4702717.00,LU,LU,L,100
281,2021,Data Engineer,MI,FT,8911784.00,US,US,L,100
282,2021,Research Scientist,EN,FT,7956950.00,JE,CN,L,0
283,2021,Data Engineer,MI,PT,5549256.00,NL,NL,L,100
284,2021,Staff Data Scientist,SE,CT,8354798.00,US,US,M,100
285,2021,Research Scientist,MI,FT,5569785.00,CZ,CZ,L,50
286,2021,Data Science Manager,SE,FT,7532447.00,IN,IN,L,50
287,2021,Head of Data,SE,FT,8182848.00,SI,SI,L,100
288,2021,Data Scientist,MI,FT,8673076.00,US,US,L,50
289,2021,Machine Learning Engineer,MI,FT,4063137.00,IT,IT,L,50
290,2022,Data Engineer,SE,FT,10741883.00,US,US,M,100
291,2022,Data Analyst,SE,FT,12333273.00,US,US,M,100
292,2022,Data Analyst,SE,FT,9596082.00,US,US,M,100
293,2022,Data Scientist,MI,FT,10344035.00,US,US,M,0
294,2022,Data Scientist,MI,FT,7161255.00,US,US,M,0
295,2022,Data Engineer,MI,FT,13526815.00,US,US,M,100
296,2022,Data Engineer,MI,FT,11935425.00,US,US,M,100
297,2022,Data Analyst,SE,FT,8124046.00,US,US,M,100
298,2022,Data Analyst,SE,FT,6755451.00,US,US,M,100
299,2022,Data Scientist,SE,FT,10870785.00,US,US,M,100
300,2022,Data Scientist,SE,FT,7906026.00,US,US,M,100
301,2022,Data Scientist,SE,FT,9372412.00,GB,GB,M,0
302,2022,Data Scientist,SE,FT,8331086.00,GB,GB,M,0
303,2022,Data Scientist,SE,FT,11617147.00,US,US,M,100
304,2022,Data Scientist,SE,FT,9787049.00,US,US,M,100
305,2022,Data Engineer,EN,FT,4165543.00,GB,GB,M,100
306,2022,Data Analyst,SE,FT,7877381.00,US,US,M,0
307,2022,Data Analyst,SE,FT,9230062.00,US,US,M,0
308,2022,Data Analyst,MI,FT,8455055.00,US,US,M,0
309,2022,Data Analyst,MI,FT,10065542.00,US,US,M,0
310,2022,Data Engineer,EX,FT,19255819.00,US,US,M,100
311,2022,Data Engineer,EX,FT,15913900.00,US,US,M,100
312,2022,Data Scientist,MI,FT,5206869.00,GB,GB,M,0
313,2022,Data Scientist,MI,FT,3124137.00,GB,GB,M,0
314,2022,Data Engineer,MI,FT,6248275.00,GB,GB,M,0
315,2022,Data Engineer,MI,FT,4165543.00,GB,GB,M,0
316,2022,Data Scientist,SE,FT,13146473.00,US,US,M,100
317,2022,Data Engineer,EN,FT,3644840.00,GB,GB,M,100
318,2022,Data Scientist,SE,FT,9561071.00,US,US,M,100
319,2022,Data Analyst,SE,FT,7186717.00,US,US,M,100
320,2022,Data Engineer,SE,FT,14476875.00,US,US,M,0
321,2022,Data Engineer,SE,FT,10528636.00,US,US,M,0
322,2022,Data Engineer,SE,FT,17514043.00,US,US,M,0
323,2022,Data Engineer,SE,FT,12737486.00,US,US,M,0
324,2022,Data Scientist,SE,FT,14322510.00,US,US,L,0
325,2022,Data Scientist,SE,FT,9548340.00,US,US,L,0
326,2022,Data Analyst,SE,FT,9881736.00,US,US,M,100
327,2022,Data Analyst,EX,FT,10344035.00,US,US,M,100
328,2022,Data Analyst,EX,FT,8752645.00,US,US,M,100
329,2022,Data Analyst,SE,FT,13526815.00,US,US,M,100
330,2022,Data Analyst,MI,FT,9190277.00,US,US,M,100
331,2022,Data Analyst,SE,FT,8983397.00,US,US,M,100
332,2022,Data Analyst,SE,FT,7186717.00,US,US,M,100
333,2022,Data Analyst,SE,FT,8983397.00,US,US,M,100
334,2022,Data Analyst,SE,FT,7186717.00,US,US,M,100
335,2022,Data Engineer,SE,FT,13160795.00,US,US,M,100
336,2022,Data Engineer,SE,FT,10528636.00,US,US,M,100
337,2022,Data Analyst,MI,FT,13288107.00,US,US,M,100
338,2022,Data Engineer,SE,FT,19407001.00,US,US,M,100
339,2022,Data Analyst,SE,FT,10869194.00,US,US,M,100
340,2022,Data Analyst,SE,FT,8695355.00,US,US,M,100
341,2022,Data Engineer,SE,FT,10254519.00,US,US,M,100
342,2022,Data Engineer,SE,FT,7455662.00,US,US,M,100
343,2022,Head of Data Science,EX,FT,17823568.00,US,US,M,100
344,2022,Head of Data Science,EX,FT,13357730.00,US,US,M,100
345,2022,Analytics Engineer,EX,FT,13924663.00,US,US,M,100
346,2022,Data Engineer,SE,FT,12460584.00,US,US,M,100
347,2022,Data Engineer,SE,FT,8657162.00,US,US,M,0
348,2022,Data Scientist,SE,FT,7602866.00,US,US,M,0
349,2022,Data Engineer,SE,FT,8991354.00,US,US,L,0
350,2022,Data Analyst,SE,FT,10741883.00,US,US,M,100
351,2022,Data Science Manager,SE,FT,12837902.00,US,US,M,100
352,2022,Data Science Manager,SE,FT,10912241.00,US,US,M,100
353,2022,Data Scientist,SE,FT,13288107.00,US,US,M,100
354,2022,Data Scientist,SE,FT,9787049.00,US,US,M,100
355,2022,Data Engineer,SE,FT,6248275.00,GB,GB,M,0
356,2022,Data Engineer,SE,FT,5206869.00,GB,GB,M,0
357,2022,Data Scientist,SE,FT,11935425.00,US,US,M,0
358,2022,Data Scientist,SE,FT,16828949.00,US,US,M,100
359,2022,Data Architect,SE,FT,15309172.00,CA,CA,M,100
360,2022,Data Architect,SE,FT,7216954.00,CA,CA,M,100
361,2022,Data Analyst,SE,FT,10344035.00,CA,CA,M,100
362,2022,Data Analyst,SE,FT,4877610.00,CA,CA,M,100
363,2022,Data Analyst,SE,FT,10344035.00,CA,CA,M,100
364,2022,Data Analyst,SE,FT,4877610.00,CA,CA,M,100
365,2022,Data Engineer,SE,FT,12731120.00,US,US,L,0
366,2022,Data Scientist,SE,FT,11028333.00,US,US,M,100
367,2022,Data Engineer,SE,FT,10821452.00,US,US,M,0
368,2022,Data Analyst,MI,FT,4615031.00,US,US,S,0
369,2022,Analytics Engineer,EX,FT,10741883.00,US,US,M,100
370,2022,Data Scientist,SE,FT,13526815.00,US,US,M,100
371,2022,Data Scientist,SE,FT,9787049.00,US,US,M,100
372,2022,Machine Learning Engineer,SE,FT,15090356.00,US,US,M,0
373,2022,Machine Learning Engineer,SE,FT,13128649.00,US,US,M,0
374,2022,ETL Developer,MI,FT,4372901.00,GR,GR,M,0
375,2022,ETL Developer,MI,FT,4372901.00,GR,GR,M,0
376,2022,Lead Data Engineer,EX,FT,9404080.00,CA,CA,S,100
377,2022,Data Analyst,SE,FT,10503174.00,US,US,M,0
378,2022,Data Engineer,SE,FT,13160795.00,US,US,M,100
379,2022,Data Architect,SE,FT,16612122.00,US,US,M,100
380,2022,Data Architect,SE,FT,11760372.00,US,US,M,100
381,2022,Data Engineer,SE,FT,10900544.00,US,US,M,100
382,2022,Data Engineer,SE,FT,8081874.00,US,US,M,100
383,2022,Data Analyst,SE,FT,10254519.00,US,US,M,100
384,2022,Data Analyst,SE,FT,7455662.00,US,US,M,100
385,2022,Head of Machine Learning,EX,FT,6289094.00,IN,IN,L,50
386,2022,Data Engineer,SE,FT,10528636.00,US,US,M,100
387,2022,Machine Learning Engineer,EN,FT,2967942.00,GB,GB,L,100
388,2022,Data Analyst,SE,FT,13049398.00,US,US,M,0
389,2022,Data Engineer,SE,FT,12333273.00,US,US,M,100
390,2022,Machine Learning Engineer,MI,FT,9893115.00,GB,GB,M,0
391,2022,Machine Learning Engineer,MI,FT,7810383.00,GB,GB,M,0
392,2022,AI Scientist,MI,FT,9548340.00,US,US,M,0
393,2022,Data Analyst,SE,FT,8983397.00,US,US,M,100
394,2022,Data Analyst,SE,FT,7186717.00,US,US,M,100
395,2022,Data Analytics Manager,SE,FT,11537578.00,US,US,M,100
396,2022,Data Analytics Manager,SE,FT,8386625.00,US,US,M,100
397,2022,Machine Learning Engineer,MI,FT,6996705.00,FR,DE,M,100
398,2022,Data Engineer,MI,FT,9372412.00,GB,GB,M,0
399,2022,Data Scientist,SE,FT,17131313.00,US,US,L,100
400,2022,Data Scientist,SE,FT,12587895.00,US,US,L,100
401,2022,Data Engineer,SE,FT,16637982.00,US,US,L,100
402,2022,Data Engineer,SE,FT,12301445.00,US,US,L,100
403,2022,Data Analyst,SE,FT,9224810.00,US,US,M,0
404,2022,Data Analyst,SE,FT,6498123.00,US,US,M,0
405,2022,Data Engineer,SE,FT,13924663.00,US,US,M,100
406,2022,Data Engineer,MI,FT,7810383.00,GB,GB,M,0
